" ","energy_kwh","lag_1","lag_3","lag_6","lag_12","lag_24","lag_48","lag_72","lag_168","rolling_mean_3","rolling_mean_6","rolling_mean_12","rolling_mean_24","rolling_mean_168"
"energy_kwh",1,0.712785992682211,0.285113367347724,0.0147494172736897,0.237525705943589,0.434645521738052,0.399951236680482,0.412640806036347,0.46013679294615,0.56162435806737,0.384465842105562,0.342752149768942,0.354313204908069,0.326356512523304
"lag_1",0.712785992682211,1,0.46485723434647,0.0628930478140189,0.213213658112397,0.375933166296195,0.346521791490815,0.361324574792936,0.399499425003039,0.836232237617329,0.609063014759068,0.454235480335164,0.404745891035726,0.335262745047612
"lag_3",0.285113367347724,0.46485723434647,1,0.285600671668718,0.0653449523748742,0.145471366236205,0.130189941186777,0.148096974425124,0.159717932033429,0.836327135215716,0.829152944335171,0.574085183159344,0.453418228243594,0.343558487644511
"lag_6",0.0147494172736897,0.0628930478140189,0.285600671668718,1,0.0156524495598308,-0.0213809111316907,-0.0375525997187979,-0.0170137275924071,-0.0243918607188407,0.191107243149355,0.609438436926025,0.637267313978821,0.479462573595664,0.348017239231512
"lag_12",0.237525705943589,0.213213658112397,0.0653449523748742,0.0156524495598308,1,0.238272814369947,0.204801814657358,0.200189924205196,0.177411979234417,0.16271689058084,0.100679878805892,0.455347404916053,0.486926420784348,0.352330284669666
"lag_24",0.434645521738052,0.375933166296195,0.145471366236205,-0.0213809111316907,0.238272814369947,1,0.434370926124604,0.40004005480719,0.394644762570601,0.299671084954116,0.188492631792463,0.211856018848066,0.406804127922854,0.357919381867108
"lag_48",0.399951236680482,0.346521791490815,0.130189941186777,-0.0375525997187979,0.204801814657358,0.434370926124604,1,0.434571743132027,0.367097131246842,0.273895119065044,0.162719948638136,0.167991603462597,0.242642377922727,0.360368715250433
"lag_72",0.412640806036347,0.361324574792936,0.148096974425124,-0.0170137275924071,0.200189924205196,0.40004005480719,0.434571743132027,1,0.401257987135043,0.293782627117426,0.188895820124045,0.196434149820176,0.233309661138208,0.363215153021137
"lag_168",0.46013679294615,0.399499425003039,0.159717932033429,-0.0243918607188407,0.177411979234417,0.394644762570601,0.367097131246842,0.401257987135043,1,0.32158522420805,0.204957835904924,0.192203787632848,0.237154525976053,0.335445615013075
"rolling_mean_3",0.56162435806737,0.836232237617329,0.836327135215716,0.191107243149355,0.16271689058084,0.299671084954116,0.273895119065044,0.293782627117426,0.32158522420805,1,0.843069550576712,0.59736530938014,0.496541585846652,0.391396842319896
"rolling_mean_6",0.384465842105562,0.609063014759068,0.829152944335171,0.609438436926025,0.100679878805892,0.188492631792463,0.162719948638136,0.188895820124045,0.204957835904924,0.843069550576712,1,0.780231448707523,0.617816407450785,0.469145373619429
"rolling_mean_12",0.342752149768942,0.454235480335164,0.574085183159344,0.637267313978821,0.455347404916053,0.211856018848066,0.167991603462597,0.196434149820176,0.192203787632848,0.59736530938014,0.780231448707523,1,0.820456817021156,0.607065097444367
"rolling_mean_24",0.354313204908069,0.404745891035726,0.453418228243594,0.479462573595664,0.486926420784348,0.406804127922854,0.242642377922727,0.233309661138208,0.237154525976053,0.496541585846652,0.617816407450785,0.820456817021156,1,0.74929781945584
"rolling_mean_168",0.326356512523304,0.335262745047612,0.343558487644511,0.348017239231512,0.352330284669666,0.357919381867108,0.360368715250433,0.363215153021137,0.335445615013075,0.391396842319896,0.469145373619429,0.607065097444367,0.74929781945584,1
