"month","total_energy_kwh","avg_hourly_energy_kwh","max_energy_kwh"
1,4275.18183333333,1.46210049019608,6.51963333333333
2,3525.22923333333,1.29986328662733,6.49603333333333
3,3622.79449999999,1.23098691811077,5.6449
4,2950.75176666666,1.04673705805841,5.6713
5,3063.88269999999,1.02953047715053,4.71913333333333
6,2567.57006666667,0.908552748289691,4.59796666666667
7,2082.92188333333,0.699906546818996,4.27223333333333
8,1626.96863333334,0.572271766912886,4.6344
9,2724.63976666667,0.975524442057524,5.73576666666667
10,3383.24173333334,1.13684198028674,5.75906666666667
11,3591.55723333333,1.29099828660436,6.56053333333334
12,3869.27283333333,1.48875445684237,6.488
