"feature","gain"
"lag_1",0.573110212756252
"ewm_3",0.0633088590509995
"same_hour_avg_7d",0.0612725406682594
"trend_1h",0.033161889914623
"hour_cos",0.0247355112853459
"hour",0.0174938414795726
"hour_sin",0.0152830204328875
"trend_3h",0.0142511002115349
"same_hour_avg_14d",0.0136903405045661
"is_peak_prev_hour",0.0118362452963384
"lag_12",0.00958915798169633
"roll_std_6",0.00908363666565347
"lag_168",0.00906971256882459
"lag_24",0.00816749742829552
"lag_2",0.00768570837791698
"hour_x_dow",0.00627509057043256
"roll_mean_3",0.00596276622371364
"hour_x_weekend",0.00573389435539737
"roll_mean_12",0.00464540201736899
"roll_std_12",0.00445115266293448
"dow",0.00444065095670909
"lag_3",0.00412505621379289
"roll_min_168",0.0036154353267705
"lag_72",0.0033762950284119
"lag_96",0.00323930780499401
"lag_18",0.003109538051054
"lag_8",0.00309565019130209
"lag_120",0.00305932856114425
"prev_day_min",0.00303766860331962
"lag_36",0.00303375978028696
"lag_144",0.00301380673977582
"roll_mean_72",0.0029820026652146
"roll_mean_6",0.00284077142580201
"lag_6",0.00279577076406151
"lag_4",0.00279131284865409
"roll_max_24",0.00276452760925435
"roll_median_168",0.00266602189677003
"roll_std_168",0.00265238115375141
"month_x_hour",0.0026241114524274
"lag_48",0.00255310993301593
"roll_median_24",0.00254583156511703
"roll_min_24",0.00253782442933668
"prev_day_total",0.00252105748348958
"roll_std_24",0.00247241751197645
"month_cos",0.00236199231762998
"roll_mean_24",0.00234832590668183
"ewm_12",0.00221946660930089
"roll_std_48",0.00221141493211342
"ewm_6",0.00217891430040584
"ewm_24",0.00207123809098235
"roll_max_168",0.00202052857973958
"dow_sin",0.00194158963059166
"roll_mean_168",0.00189400468647597
"roll_mean_48",0.00181992125399677
"prev_day_max",0.0016639834233743
"prev_week_same_hour",0.00147485645658166
"ewm_48",0.00135136439875857
"dow_x_month",0.00100400295076678
"month",0.000775184808950055
"is_weekend",0.000586056269367615
"month_sin",0.000566429362549283
"prev_day_mean",0.000414774930578095
"dow_cos",0.000248811917583662
"prev_week_same_hour_avg",0.000111954559419516
"quarter",3.39661651066144e-05
