"date","baseline_cost","optimized_simulated_cost","estimated_savings","savings_percentage","energy_shifted"
2010-04-11,90.9303956627846,90.5213348984718,0.409060764312744,0.449861414691019,0.0584372520446777
2010-04-12,157.324565857649,157.324565857649,0,0,0
2010-04-13,170.106331199408,170.106331199408,0,0,0
2010-04-14,179.642346709967,179.642346709967,0,0,0
2010-04-15,177.873240798712,177.873240798712,0,0,0
2010-04-16,172.032493025064,172.032493025064,0,0,0
2010-04-17,176.501609802246,176.322336424942,0.179273377304077,0.101570392193554,0.0597577924346924
2010-04-18,166.980231851339,166.980231851339,0,0,0
2010-04-19,192.260651618242,192.260651618242,0,0,0
2010-04-20,184.79208829999,184.79208829999,0,0,0
2010-04-21,168.088787734509,168.088787734509,0,0,0
2010-04-22,165.795353263617,165.795353263617,0,0,0
2010-04-23,151.456473112106,151.456473112106,0,0,0
2010-04-24,167.572639256716,167.419310734301,0.153328522415161,0.0914997359325867,0.0219040746307373
2010-04-25,139.255663871765,139.255663871765,0,0,0
2010-04-26,123.506058573723,123.506058573723,0,0,0
2010-04-27,132.062253266573,132.062253266573,0,0,0
2010-04-28,112.29378888011,112.29378888011,0,0,0
2010-04-29,120.394929468632,120.394929468632,0,0,0
2010-04-30,126.508350670338,126.508350670338,0,0,0
2010-05-01,125.92303314805,125.92303314805,0,0,0
2010-05-02,216.198931068182,216.152881369619,0.046049698562622,0.021299688363445,0.00657852836608885
2010-05-03,141.491385340691,141.491385340691,0,0,0
2010-05-04,160.543921887875,160.543921887875,0,0,0
2010-05-05,184.856007903814,184.856007903814,0,0,0
2010-05-06,145.715394675732,145.715394675732,0,0,0
2010-05-07,159.149870365858,159.149870365858,0,0,0
2010-05-08,143.530363947153,143.530363947153,0,0,0
2010-05-09,184.123579949141,184.123579949141,0,0,0
2010-05-10,153.927795797586,153.522416067123,0.405379730463028,0.263357068398549,0.0579113900661469
2010-05-11,163.402028948069,163.402028948069,0,0,0
2010-05-12,201.55720770359,201.55720770359,0,0,0
2010-05-13,170.24569517374,170.24569517374,0,0,0
2010-05-14,188.731351912022,188.731351912022,0,0,0
2010-05-15,179.850733667612,179.45129904151,0.399434626102448,0.222092297293963,0.0570620894432068
2010-05-16,198.425399452448,197.995095169544,0.430304282903671,0.216859476705649,0.0614720404148102
2010-05-17,174.799718290567,174.799718290567,0,0,0
2010-05-18,166.778984963894,166.778984963894,0,0,0
2010-05-19,164.15165990591,164.15165990591,0,0,0
2010-05-20,144.636934459209,144.636934459209,0,0,0
2010-05-21,149.006199032068,149.006199032068,0,0,0
2010-05-22,205.948426127434,205.705935016899,0.242491110534668,0.117743609453283,0.0346415872192383
2010-05-23,165.566034793854,165.566034793854,0,0,0
2010-05-24,152.486175298691,152.486175298691,0,0,0
2010-05-25,152.03491076827,152.03491076827,0,0,0
2010-05-26,160.637172371149,160.637172371149,0,0,0
2010-05-27,146.407921403646,146.407921403646,0,0,0
2010-05-28,150.597947388887,150.597947388887,0,0,0
2010-05-29,203.846154093742,203.450234484673,0.395919609069824,0.194224713647408,0.056559944152832
2010-05-30,186.673779934645,186.673779934645,0,0,0
2010-05-31,161.788785815239,161.788785815239,0,0,0
2010-06-01,150.901540279388,150.901540279388,0,0,0
2010-06-02,110.074374437332,110.074374437332,0,0,0
2010-06-03,140.422951102257,140.422951102257,0,0,0
2010-06-04,139.497739553452,139.497739553452,0,0,0
2010-06-05,187.74350810051,187.74350810051,0,0,0
2010-06-06,176.788262307644,176.456528500347,0.331733807296753,0.187644701614565,0.0473905438995361
2010-06-07,126.996212989092,126.996212989092,0,0,0
2010-06-08,147.356537699699,147.356537699699,0,0,0
2010-06-09,157.273179382086,157.273179382086,0,0,0
2010-06-10,140.576716274023,140.576716274023,0,0,0
2010-06-11,156.954330801964,156.954330801964,0,0,0
2010-06-12,200.977584987879,200.977584987879,0,0,0
2010-06-13,173.52856066823,173.52856066823,0,0,0
2010-06-14,134.859283566475,134.859283566475,0,0,0
2010-06-15,135.695385634899,135.695385634899,0,0,0
2010-06-16,157.882736295462,157.882736295462,0,0,0
2010-06-17,125.342996895313,125.342996895313,0,0,0
2010-06-18,145.8419059515,145.8419059515,0,0,0
2010-06-19,155.585022836924,155.585022836924,0,0,0
2010-06-20,177.853986412287,177.536944196253,0.317042216033935,0.178259831241001,0.0452917451477051
2010-06-21,158.947814941406,158.947814941406,0,0,0
2010-06-22,157.923935055733,157.923935055733,0,0,0
2010-06-23,155.617431879044,155.617431879044,0,0,0
2010-06-24,129.872821450233,129.872821450233,0,0,0
2010-06-25,125.807402044535,125.807402044535,0,0,0
2010-06-26,129.040828108788,129.040828108788,0,0,0
2010-06-27,128.265174180269,128.265174180269,0,0,0
2010-06-28,136.252661556005,136.252661556005,0,0,0
2010-06-29,144.368072152138,144.368072152138,0,0,0
2010-06-30,140.795015513897,140.795015513897,0,0,0
2010-07-01,131.351759791374,131.351759791374,0,0,0
2010-07-02,120.010927736759,120.010927736759,0,0,0
2010-07-03,118.825076401234,118.825076401234,0,0,0
2010-07-04,137.71103823185,137.71103823185,0,0,0
2010-07-05,111.538412213326,111.538412213326,0,0,0
